id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
1972,M,1.4125,1.0875,0.325,20.3265915,9.85145125,4.09650275,5.499803,10
1973,I,0.9875,0.7375,0.3125,9.00096625,3.44446425,1.927766,3.8271825,16
1974,M,1.425,1.1,0.3375,30.27397325,14.0897015,6.16601625,7.2291225,8
1975,I,0.8,0.6,0.1875,4.91863825,1.91359125,1.51669825,1.60174675,6
1976,F,1.4375,1.125,0.4,26.251637,10.942907,6.08096775,7.37087,14
1977,I,1.175,0.9375,0.3125,16.9246515,8.32057825,3.78465825,3.628736,8
1978,M,1.425,1.125,0.4125,26.29416125,10.21999475,5.54232725,8.50485,12
1979,F,1.7875,1.35,0.45,48.00987825,20.4966885,10.24834425,13.324265,11
1980,I,0.95,0.7,0.2125,7.6827145,3.345241,1.51669825,2.1262125,6
1981,I,0.6875,0.5,0.1375,2.3530085,1.0489315,0.8788345,0.850485,8
1982,F,1.4625,1.1625,0.4125,27.8108595,10.58853825,6.293589,7.2291225,9
1983,I,0.675,0.4875,0.175,2.65067825,1.26155275,0.72291225,0.850485,5
1984,M,1.55,1.2,0.45,34.62891425,16.499409,7.64019025,8.8733935,10
1985,F,1.475,1.1375,0.375,27.1304715,13.60776,5.8683465,8.3631025,9
1986,F,1.475,1.175,0.3375,30.71668325,14.0330025,6.13766675,8.788345,10
1987,I,1.35,1.0125,0.325,19.5328055,8.97261675,4.43669675,5.10291,8
1988,I,0.6375,0.4625,0.1625,2.0695135,0.8788345,0.5953395,0.69456275,5
1989,F,1.2875,0.975,0.25,16.82542825,7.78193775,4.2240755,4.252425,8
1990,F,1.5625,1.2375,0.425,36.967748,16.23008875,6.4353365,10.0640725,11
1991,I,1,0.7625,0.2375,9.19941275,3.855532,1.74349425,2.6932025,7
1992,M,1.6125,1.225,0.4625,36.967748,16.42853525,9.53960675,10.61688775,15
1993,M,1.3375,1.0375,0.3625,21.035329,9.412034,4.706017,6.80388,11
1994,M,1.3125,1.0375,0.45,18.0019325,8.278054,3.685435,4.9611625,9
1995,F,1.375,1.1,0.375,25.35862775,9.07184,4.2807745,7.7961125,11
1996,I,0.1875,0.1375,0.0625,0.056699,0.0283495,0.0750485,0.04252425,4
1997,I,1.4125,1.125,0.4625,28.33532525,12.0485375,5.62737575,8.50485,10
1998,F,1.5625,1.225,0.4375,34.89182725,17.90270925,8.051258,9.82310175,11
1999,I,1.1,0.825,0.2625,10.30504325,4.29494925,2.33883375,3.35941575,9
2000,F,1.575,1.225,0.3875,36.0889135,15.8473705,7.01650125,8.9867915,9
2001,F,1.2125,0.9375,0.3125,16.31513725,5.74077375,3.07592075,5.386405,15
2002,I,1.3625,1.075,0.35,19.97222275,9.468733,4.252425,5.8683465,7
2003,I,0.7,0.5125,0.2,3.6003865,1.5025235,0.60951425,1.13398,7
2004,M,1.575,1.25,0.4125,32.72949775,15.30873,6.39281225,9.7805775,11
2005,I,1.1125,0.85,0.3125,12.68640125,5.85417175,2.93417325,3.5436875,6
2006,F,1.45,1.125,0.375,28.973189,13.1825175,5.613201,7.5126175,9
2007,I,1.3125,1,0.375,19.15008725,9.82310175,3.72795925,5.953395,9
2008,M,0.6875,0.4875,0.1625,3.005047,1.530873,0.56699,0.793786,6
2009,M,1.425,1.125,0.375,28.91649,14.5432935,6.08096775,7.29999625,9
2010,I,1.075,0.8,0.275,8.83086925,3.69960975,2.31048425,2.83495,8
2011,F,1.4625,1.1375,0.4,26.63435525,10.149121,5.2446575,7.2291225,15
2012,F,1.525,1.175,0.4,31.524644,13.1825175,5.726599,9.922325,12
2013,I,1.175,0.925,0.2625,11.5949455,4.74854125,2.87747425,3.8271825,7
2014,I,0.925,0.7125,0.2125,6.44951125,2.65067825,1.57339725,1.984465,6
2015,I,1.0125,0.775,0.25,10.27669375,4.77689075,1.99863975,2.83495,7
2016,M,1.1,0.8875,0.3,12.360382,5.59902625,2.721552,3.5436875,19
2017,M,1.3125,1.05,0.4125,19.17843675,7.27164675,4.01145425,5.85417175,18
2018,M,1.475,1.1875,0.3625,34.06192425,17.123098,8.43397625,6.9456275,11
2019,F,1.575,1.2375,0.4,32.375129,14.13222575,8.54737425,9.128539,7
2020,F,1.075,0.85,0.3,11.0846545,4.40834725,2.6932025,3.98310475,6
2021,M,1.5125,1.1625,0.4125,28.81726675,11.736693,7.3425205,9.63883,13
2022,M,1.15,0.9,0.375,13.56523575,5.71242425,2.99087225,4.3941725,9
2023,I,0.8625,0.65,0.2,5.68407475,2.26796,1.3891255,1.8427175,8
2024,M,1.3125,0.95,0.3,17.7184375,9.865626,3.86970675,5.2446575,8
2025,I,1.0375,0.75,0.25,10.44679075,4.6776675,2.438057,2.1262125,7
2026,M,1.325,1.05,0.3625,19.20678625,9.412034,4.57844425,4.6776675,8
2027,M,1.425,1.0875,0.35,24.99008425,8.278054,5.839997,7.2291225,10
2028,M,1.775,1.375,0.4875,53.6656035,25.3161035,12.360382,12.757275,10
2029,F,1.525,1.2125,0.425,32.50270175,14.92601175,7.5126175,8.9867915,8
2030,I,1.1,0.875,0.3,12.2753335,6.0384435,3.27436725,3.118445,7
2031,M,1.4625,1.1875,0.375,26.7902775,11.623295,5.99591925,7.93786,10
2032,I,0.8125,0.6,0.1875,5.556502,2.19708625,0.86465975,1.26155275,5
2033,I,1.2625,0.975,0.3125,14.5999925,5.6699,3.64291075,4.9611625,9
2034,F,1.5,1.2,0.4,28.8314415,12.74310025,5.6982495,9.07184,9
2035,I,1.4,1.05,0.35,24.153774,11.94931425,5.34388075,6.4353365,9
2036,I,1.1875,0.9125,0.2875,12.71475075,4.49339575,2.62232875,3.78465825,9
2037,M,1.65,1.2875,0.45,41.673765,17.08057375,8.901743,11.90679,11
2038,F,1.3875,1.0625,0.375,22.04173625,9.62465525,4.5642695,7.654365,9
2039,M,1.475,1.075,0.3625,21.0069795,8.3631025,3.345241,9.07184,15
2040,M,1.5125,1.1875,0.4125,30.5324115,12.88484775,6.917278,8.77417025,10
2041,M,1.575,1.225,0.4,32.601925,16.3009625,5.613201,8.1363065,9
2042,I,0.8625,0.6375,0.2125,5.3013565,2.211261,1.43164975,1.644271,6
2043,M,1.7875,1.4125,0.4375,58.6551155,21.67319275,11.86426575,11.72251825,10
2044,F,1.4125,1.1,0.4,28.689694,14.514944,5.8683465,7.5126175,9
2045,M,1.1,0.8625,0.3125,10.9712565,4.3941725,2.16873675,3.40194,8
2046,M,1.7,1.3,0.45,43.70075425,18.35630125,11.07047975,11.90679,10
2047,I,0.45,0.425,0.1375,0.680388,0.283495,0.226796,0.2551455,4
2048,I,0.8125,0.6,0.2,4.9044635,2.11203775,1.06310625,1.417475,7
2049,F,1.65,1.25,0.4875,39.95862025,16.612807,8.34892775,10.489315,9
2050,M,1.45,1.125,0.4375,31.581343,11.12717875,7.2858215,8.3631025,15
2051,I,1.3625,1.05,0.325,21.27629975,9.07184,5.23048275,5.57067675,9
2052,M,1.4375,1.125,0.375,27.45649075,12.6722265,5.82582225,7.2291225,10
2053,F,1.7375,1.3625,0.425,47.18774275,18.63979625,9.39785925,15.025235,13
2054,M,1.3875,1.0875,0.4,22.18405625,9.8372765,4.422522,6.80388,9
2055,F,1.5625,1.2125,0.45,38.838815,16.329312,8.43397625,12.6155275,11
2056,I,0.9875,0.725,0.25,7.144074,3.515338,1.7293195,2.26796,7
2057,F,1.6125,1.325,0.425,42.82191975,20.93610575,9.99319875,10.56018875,8
2058,F,1.375,1.1375,0.4125,27.839209,8.60407325,5.57067675,11.056305,14
2059,I,0.95,0.7125,0.225,6.0384435,3.2601925,1.43164975,1.984465,6
2060,F,1.425,1.0875,0.3625,20.28406725,7.994559,4.5075705,6.6621325,12
2061,F,1.425,1.1375,0.375,29.21415975,11.38232425,6.10931725,8.3631025,16
2062,M,1.5125,1.2,0.4375,29.72445075,11.453198,6.633783,9.4970825,12
2063,I,1.2375,0.925,0.2875,14.061352,6.2085405,3.50116325,3.75630875,7
2064,F,1.35,1.075,0.35,22.452804,9.90815025,5.3580555,7.93786,11
2065,F,1.525,1.275,0.4375,32.601925,14.13222575,7.257472,8.9300925,10
2066,M,1.2875,0.975,0.3875,24.720764,8.09378225,4.8477645,8.788345,15
2067,M,1.4625,1.15,0.4125,31.2694985,15.989118,7.29999625,8.3631025,9
2068,M,1.4125,1.075,0.35,23.00561925,11.07047975,4.365823,6.9456275,9
2069,F,1.45,1.15,0.375,26.12406425,10.47514025,5.71242425,8.3631025,12
2070,M,1.4375,1.125,0.325,26.69105425,11.8784405,5.726599,6.9456275,8
2071,M,1.4,1.1125,0.375,24.720764,10.149121,5.2446575,6.191055,10
2072,F,1.6125,1.25,0.4,33.0271675,13.99047825,6.90310325,9.355335,12
2073,F,1.5625,1.2,0.4,35.13920525,15.592225,7.7394135,10.77281,12
2074,M,1.7,1.2125,0.3875,32.601925,15.94659375,7.767763,9.4970825,11
2075,I,1.0875,0.825,0.25,9.07184,4.40834725,1.8427175,2.67902775,7
2076,I,1,0.725,0.275,7.58349125,3.41611475,1.71514475,2.16873675,6
2077,I,1.125,0.875,0.2875,13.551061,5.443104,3.685435,3.96893,9
2078,F,1.5375,1.15,0.375,30.674159,14.401546,6.6054335,7.2291225,9
2079,F,1.675,1.3,0.4875,45.91201525,14.35902175,9.53960675,14.74174,18
2080,M,1.525,1.2125,0.4,32.0065855,12.94154675,6.7755305,9.4970825,11
2081,F,1.4,1.075,0.3625,24.9192105,8.83086925,6.0951425,7.69688925,10
2082,M,1.7125,1.3,0.4125,40.92250325,12.3887315,5.1312595,13.60776,9
2083,I,1.3,1,0.3,16.42853525,6.2085405,3.98310475,4.6776675,9
2084,M,1.575,1.1875,0.3875,31.581343,13.05494475,7.24329725,8.3631025,10
2085,I,0.7875,0.625,0.175,4.2240755,1.644271,0.83631025,1.3324265,8
2086,F,1.075,0.8375,0.3375,12.587178,4.3941725,3.24601775,3.96893,11
2087,F,1.8,1.4125,0.45,50.39123625,24.6924145,9.08601475,12.757275,12
2088,M,1.4375,1.0875,0.3375,24.73493875,12.7289255,5.6982495,6.6621325,10
2089,I,1.2625,0.95,0.3625,16.386011,6.30776375,3.72795925,5.386405,12
2090,M,1.6625,1.3125,0.425,45.7277435,20.79435825,9.128539,11.90679,11
2091,F,1.65,1.2875,0.475,41.71628925,17.4349425,8.7032965,11.90679,12
2092,M,1.6,1.25,0.4125,34.60056475,13.5227115,8.164656,10.489315,11
2093,M,1.5125,1.25,0.3625,28.746393,12.43125575,6.50621025,9.2135875,14
2094,M,1.325,1.025,0.375,23.81358,8.50485,4.025629,6.9456275,14
2095,I,1.475,1.1375,0.3625,24.30969625,10.375917,5.2446575,6.0384435,10
2096,M,1.5125,1.2125,0.3625,28.98736375,11.8217415,5.40057975,8.221355,10
2097,I,1.4,1.1,0.375,22.21183325,9.8372765,4.86193925,6.520385,10
2098,M,1.225,0.9625,0.3375,15.5071765,6.6054335,3.86970675,4.6776675,10
2099,F,1.5625,1.225,0.4125,33.55163325,16.499409,6.010094,8.788345,9
2100,F,1.475,1.175,0.4125,30.4190135,12.82814875,5.726599,9.922325,14
2101,I,1.5875,1.2375,0.425,34.62891425,18.75319425,8.2497045,10.77281,10
2102,F,1.6125,1.2625,0.425,35.3518265,16.42853525,8.3631025,8.9300925,9
2103,M,1.55,1.1875,0.375,31.5529935,14.89766225,6.19436575,7.087375,8
2104,F,1.3125,0.9875,0.3375,17.633389,7.52679225,4.1673765,5.216308,8
2105,M,1.8,1.3,0.475,49.2430815,19.94387325,11.35397475,11.90679,8
2106,M,1.5125,1.2,0.45,35.02580725,14.69921575,8.83086925,10.77281,20
2107,M,1.5125,1.1875,0.4625,31.6096925,13.9763035,6.633783,9.922325,10
2108,M,1.6375,1.2375,0.45,43.6298805,17.33571925,9.525432,12.6155275,11
2109,M,1.475,1.1875,0.4375,31.3417325,11.736693,7.37087,9.4970825,19
2110,F,1.625,1.2625,0.45,44.69298675,22.52367775,9.2135875,12.3320325,9
2111,F,1.725,1.3,0.525,44.04094825,17.463292,10.36174225,12.246984,11
2112,M,0.9375,0.7375,0.275,9.752228,4.0539785,1.7860185,2.36718325,7
2113,F,1.55,1.225,0.3875,29.596878,13.1825175,6.973977,8.9300925,9
2114,F,1.4125,1.0875,0.3875,23.586784,10.47514025,5.6699,7.2291225,11
2115,M,1.2125,1,0.3625,20.97863,8.51902475,4.5075705,5.5281525,11
2116,M,1.6125,1.275,0.4375,36.457457,16.00329275,8.164656,10.942907,10
2117,M,1.5,1.1875,0.425,31.7797895,15.478827,5.88252125,7.087375,11
2118,F,1.6125,1.25,0.45,43.0628905,15.35125425,8.7599955,11.679994,10
2119,M,1.5,1.1875,0.4125,29.9654215,12.06271225,6.350288,8.788345,9
2120,F,1.5625,1.2875,0.4125,30.71668325,11.8784405,6.76135575,9.07184,13
2121,F,1.325,1.025,0.3625,18.71067,7.47009325,4.40834725,5.953395,10
2122,I,1.1125,0.825,0.325,13.53688625,6.02426875,2.73572675,3.81300775,9
2123,I,1.4125,1.1375,0.4375,25.27357925,11.24057675,5.8683465,8.00873375,10
2124,F,1.4375,1.2125,0.4125,25.27357925,10.39009175,5.783298,6.9456275,12
2125,M,1.2125,0.95,0.3125,16.40018575,6.747181,3.86970675,4.40834725,9
2126,I,0.65,0.475,0.15,2.0128145,0.8788345,0.4819415,0.7087375,5
2127,M,1.825,1.375,0.45,51.49686675,26.37144225,11.2547515,12.8990225,10
2128,F,1.525,1.2125,0.3875,30.43318825,11.8784405,6.95980225,9.2135875,14
2129,M,1.725,1.3625,0.5125,48.477645,23.6151335,11.566596,14.2030995,11
2130,M,1.1625,0.875,0.2625,12.2186345,4.9611625,2.9199985,4.9611625,8
2131,I,1.1125,0.8625,0.3,10.58853825,4.9611625,2.36718325,3.5436875,7
2132,I,1.3625,1.075,0.35,23.65765775,10.0640725,4.06815325,6.23689,8
2133,M,1.425,1.125,0.4,33.8776525,17.67591325,6.633783,8.0796075,9
2134,I,1.1,0.775,0.225,10.02154825,4.4508715,2.11203775,2.83495,7
2135,I,0.525,0.375,0.1125,1.190679,0.49611625,0.38271825,0.4252425,4
2136,M,1.4375,1.125,0.35,24.9192105,10.0640725,5.37223025,7.087375,14
2137,I,0.9875,0.775,0.2375,9.63883,4.0539785,1.814368,2.324659,7
2138,I,1.1875,0.8875,0.325,13.39513875,5.71242425,3.69960975,3.5436875,8
2139,I,1.4375,1.125,0.325,23.94115275,11.32562525,4.83358975,6.23689,8
2140,M,1.4375,1.175,0.35,22.75047375,10.7444605,4.55009475,7.12989925,11
2141,I,0.7375,0.5625,0.2,4.66349275,1.91359125,0.850485,1.247378,5
2142,M,1.425,1.2125,0.375,27.21552,10.9712565,6.76135575,7.7961125,10
2143,F,1.5,1.1875,0.4,31.79396425,15.1102835,6.3786375,8.7032965,8
2144,M,1.2,0.925,0.35,16.2442635,7.654365,3.6570855,5.046211,9
2145,I,0.9625,0.725,0.25,9.4970825,4.46504625,1.77184375,2.664853,6
2146,I,1.3125,0.9625,0.3125,18.71067,9.8372765,3.7137845,4.422522,8
2147,I,1.1,0.8125,0.275,12.757275,4.97533725,2.84912475,3.2601925,9
2148,I,0.8375,0.6375,0.2125,5.613201,2.42388225,1.23320325,1.644271,6
2149,M,1.475,1.1375,0.35,28.803092,11.26892625,7.4559185,7.2291225,13
2150,M,1.5875,1.275,0.45,40.78075575,14.10387625,9.07184,11.056305,14
2151,M,1.45,1.125,0.3875,27.11629675,13.13999325,5.54232725,7.2291225,8
2152,M,1.4375,1.125,0.375,28.98736375,13.60776,6.13766675,6.9456275,12
2153,F,1.4875,1.2125,0.4375,37.32211675,15.03940975,7.3992195,16.44271,17
2154,F,1.1875,0.975,0.3,16.0741665,8.051258,3.81300775,4.819415,11
2155,M,1.6125,1.225,0.4,32.545226,14.69921575,6.917278,9.355335,10
2156,M,1.5125,1.175,0.4125,29.97959625,12.82814875,6.78970525,10.77281,10
2157,M,1.6625,1.3375,0.45,41.71628925,19.1359125,8.9300925,11.3114505,12
2158,F,1.4125,1.1,0.375,26.08154,11.1413535,6.010094,8.20718025,9
2159,M,1.4125,1.125,0.325,23.43086175,9.7805775,5.57067675,6.9456275,8
2160,I,1.1375,0.975,0.35,18.29960225,9.2135875,3.27436725,4.819415,8
2161,F,1.275,0.9875,0.325,19.447757,8.77417025,3.742134,6.9456275,11
2162,M,1.225,0.9625,0.3125,17.4916415,6.6621325,5.17378375,4.6776675,9
2163,F,1.5375,1.1875,0.375,31.02852775,11.5949455,7.3992195,8.391452,13
2164,F,1.675,1.3,0.4125,42.48172575,18.61144675,6.747181,11.90679,11
2165,F,1.625,1.275,0.4375,38.9805625,16.31513725,9.53960675,10.20582,10
2166,I,0.6,0.4,0.1875,2.8066005,1.0489315,0.680388,0.850485,4
2167,I,1.0875,0.8625,0.2875,10.886208,4.0539785,2.608154,3.5436875,9
2168,M,1.2375,0.95,0.2875,17.84601025,7.24329725,4.082328,5.10291,9
2169,M,1.4375,1.1125,0.4125,23.65765775,10.6310625,5.0745605,6.80388,12
2170,F,1.45,1.1375,0.3875,29.8520235,13.2392165,6.39281225,7.767763,11
2171,I,1.4875,1.1875,0.4,31.79396425,12.94154675,6.293589,10.07824725,21
2172,M,0.725,0.525,0.175,2.83495,1.09145575,0.69456275,0.9922325,5
2173,I,1.4875,1.1375,0.3375,27.59823825,12.6155275,5.11708475,6.747181,7
2174,I,0.8125,0.6,0.2,4.20990075,1.91359125,0.92135875,1.40330025,10
2175,I,1.575,1.2125,0.45,35.25260325,13.79203175,8.4198015,11.056305,13
2176,I,0.7375,0.55,0.1625,3.86970675,1.63009625,0.396893,0.9922325,8
2177,I,0.6375,0.475,0.15,2.02698925,0.80796075,0.4819415,0.7087375,5
2178,F,1.525,1.2,0.4125,32.2333815,12.94154675,6.80388,9.8372765,12
2179,M,1.4375,1.125,0.3875,26.308336,12.3320325,5.08873525,7.37087,10
2180,F,1.425,1.0875,0.425,30.844256,12.82814875,7.01650125,8.788345,15
2181,I,1.1,0.85,0.275,12.700576,5.273007,3.04757125,3.40194,9
2182,F,1.35,1.0875,0.4,25.287754,9.128539,4.932813,9.4970825,12
2183,I,0.9625,0.7375,0.2625,7.9095105,2.721552,1.814368,2.9766975,7
2184,F,1.1875,0.9125,0.325,13.62193475,5.40057975,3.231843,4.18155125,10
2185,F,1.6125,1.25,0.375,35.62114675,15.35125425,9.241937,8.0796075,8
2186,I,0.475,0.325,0.075,0.83631025,0.43941725,0.4252425,0.283495,4
2187,I,1.175,0.9,0.3125,14.04717725,6.76135575,3.04757125,4.1106775,9
2188,F,1.55,1.2875,0.4375,34.6147395,15.1669825,7.47009325,13.1825175,12
2189,F,1.5,1.1875,0.4125,27.8675585,12.94154675,5.79747275,8.50485,9
2190,M,1.3875,1.0625,0.35,22.339406,7.994559,4.55009475,8.0796075,18
2191,I,0.8625,0.625,0.225,6.30776375,2.50893075,1.80019325,1.927766,6
2192,M,1.3125,1,0.35,19.74542675,6.76135575,4.63514325,5.2446575,9
2193,M,1.275,1.0125,0.375,18.86659225,6.8322295,3.92640575,6.6621325,9
2194,F,1.55,1.2,0.3875,28.70386875,15.09610875,12.37455675,8.63242275,9
2195,F,1.15,0.8625,0.2625,13.22504175,5.06038575,3.231843,4.252425,10
2196,M,1.7875,1.4125,0.525,58.7685135,24.6924145,13.22504175,20.128145,11
2197,I,0.975,0.7,0.25,6.98815175,2.6932025,1.31825175,2.1262125,7
2198,I,1.1375,0.875,0.3,15.15280775,7.200773,2.70737725,4.6776675,8
2199,F,1.425,1.0625,0.3,26.20911275,11.3114505,6.5487345,5.8116475,8
2200,M,1.25,0.925,0.3125,15.3937785,6.70465675,2.99087225,4.252425,12
2201,I,1.25,0.9625,0.3375,17.95940825,7.10154975,4.01145425,4.6776675,8
2202,F,1.6875,1.325,0.4375,43.02036625,19.6462035,9.241937,11.12717875,11
2203,F,1.5625,1.2375,0.45,34.699788,15.762322,8.674947,10.3475675,11
2204,F,1.375,1.0875,0.375,23.09066775,10.6877615,6.05261825,6.6621325,9
2205,I,0.95,0.7125,0.225,6.27941425,2.11203775,1.6159215,2.26796,9
2206,F,1.25,0.95,0.3375,16.85377775,6.4920355,3.86970675,5.2446575,10
2207,F,1.3,1.0625,0.4,24.93338525,10.9712565,6.0951425,8.00873375,7
2208,M,1.5375,1.1875,0.4375,28.7180435,15.52135125,5.8683465,7.654365,10
2209,M,1.3125,0.9625,0.2875,18.97999025,8.1930055,4.2807745,5.10291,8
2210,I,1.0875,0.8375,0.275,10.659412,4.7910655,2.67902775,2.83495,7
2211,F,1.25,0.95,0.3125,16.68368075,6.973977,3.35941575,5.2446575,12
2212,M,1.4375,1.175,0.4,27.0737725,12.47378,4.77689075,7.654365,11
2213,I,0.9625,0.725,0.25,7.04485075,3.01922175,1.68679525,2.4097075,7
2214,M,1.4375,1.125,0.3625,23.81358,10.61688775,4.9044635,6.3786375,9
2215,M,1.5,1.1875,0.375,31.2694985,15.80484625,6.2652395,8.788345,11
2216,F,1.7,1.375,0.475,47.18774275,21.98503725,7.2858215,14.3164975,11
2217,M,1.4875,1.1625,0.4125,28.64716975,10.5176645,5.57067675,8.221355,21
2218,M,1.2875,0.975,0.3,16.71203025,7.04485075,3.7137845,4.7343665,11
2219,F,1.55,1.2,0.425,32.375129,13.53688625,7.767763,8.6465975,9
2220,I,0.875,0.6625,0.2375,5.8116475,2.211261,1.11980525,1.984465,6
2221,I,0.925,0.6875,0.225,7.9095105,3.69960975,1.8427175,2.4097075,7
2222,I,1.4,1.2,0.4125,31.0994015,11.94931425,7.484268,9.4970825,11
2223,I,1.0375,0.8125,0.275,10.41844125,4.8477645,2.4097075,3.40194,7
2224,M,1.55,1.2125,0.475,30.83008125,12.99824575,6.22271525,10.9145575,12
2225,I,0.75,0.575,0.2,3.98310475,1.45999925,0.75126175,1.0489315,5
2226,M,1.5875,1.2625,0.4,27.51318975,12.3320325,5.79747275,11.3681495,13
2227,M,1.5125,1.2125,0.4,32.375129,12.47378,6.95980225,9.63883,10
2228,F,1.1,0.8625,0.275,11.793392,4.7343665,2.5231055,3.40194,9
2229,F,1.25,0.9625,0.3125,18.80989325,8.5898985,3.72795925,4.55009475,9
2230,F,1.375,1.075,0.3375,20.70930975,6.73300625,4.1673765,7.484268,16
2231,M,1.5375,1.1875,0.375,30.730858,12.23280925,6.577084,9.63883,10
2232,M,1.5625,1.175,0.4375,30.674159,10.9712565,6.76135575,10.20582,17
2233,I,0.325,0.2375,0.0875,0.29766975,0.1417475,0.09922325,0.1417475,3
2234,I,1.325,0.95,0.325,15.40795325,8.97261675,3.64291075,4.6776675,8
2235,F,1.6125,1.25,0.425,33.46658475,12.927372,8.0229085,9.28446125,10
2236,M,1.6125,1.25,0.4875,38.00250475,16.0174675,7.24329725,13.891255,9
2237,M,1.375,1.075,0.3875,26.35086025,10.9145575,5.71242425,10.0640725,13
2238,I,1.425,1.1125,0.375,22.226008,8.94426725,3.5436875,7.654365,11
2239,I,1.1375,0.8625,0.275,12.927372,4.80524025,2.5231055,3.40194,6
2240,F,1.4375,1.175,0.4375,29.1149365,11.18387775,6.59125875,9.2135875,13
2241,I,1.5,1.175,0.4125,28.7180435,11.566596,6.56290925,9.355335,12
2242,F,1.3625,1.075,0.3375,21.1203775,8.29222875,4.479221,6.6621325,10
2243,M,1.5875,1.225,0.4,32.16250775,13.19669225,7.5693165,9.922325,14
2244,M,1.8125,1.425,0.475,72.291225,30.34813975,13.6928085,20.5533875,13
2245,F,1.4,1.075,0.4375,24.79163775,9.28446125,6.67630725,6.80388,11
2246,I,0.9,0.675,0.225,5.7549485,2.2963095,0.963883,1.70097,6
2247,F,1.7,1.3875,0.45,50.53298375,15.77649675,12.14776075,12.8990225,15
2248,F,1.55,1.2125,0.4125,34.60056475,15.762322,8.88756825,8.77417025,17
2249,F,1.425,1.125,0.45,27.1871705,9.9506745,5.00368675,10.0640725,16
2250,M,1.3,1.0625,0.3375,24.777463,10.4609655,6.08096775,7.2291225,10
2251,M,1.3,1,0.325,22.9914445,7.9662095,5.17378375,8.3631025,15
2252,I,1.125,0.9,0.325,14.35902175,6.293589,2.9766975,4.53592,7
2253,F,1.4375,1.1,0.4625,27.25804425,8.43397625,4.989512,9.7805775,17
2254,I,0.9375,0.75,0.225,4.80524025,5.00368675,1.14815475,1.417475,6
2255,F,1.1375,0.8875,0.3375,17.84601025,5.68407475,3.6003865,6.0951425,14
2256,I,0.8125,0.625,0.1875,3.64291075,1.4458245,0.793786,1.13398,5
2257,F,1.1625,0.8875,0.3,15.5071765,6.0951425,4.57844425,3.96893,15
2258,M,1.525,1.175,0.3875,28.76056775,12.40290625,6.42116175,8.50485,9
2259,I,0.95,0.725,0.2375,7.087375,3.18931875,1.7293195,2.26796,7
2260,I,0.825,0.65,0.2125,5.57067675,2.48058125,1.1623295,1.587572,7
2261,M,1.3,1.025,0.3875,27.1304715,12.06271225,5.59902625,7.5126175,7
2262,F,1.775,1.4125,0.55,55.735117,22.80717275,12.3320325,18.6256215,17
2263,I,0.4,0.3,0.0625,0.5953395,0.21262125,0.15592225,0.21262125,4
2264,M,1.525,1.2,0.4125,31.1561005,14.50076925,7.9095105,8.3631025,9
2265,M,1.375,1.0375,0.375,22.5378525,8.674947,3.61456125,7.41339425,11
2266,F,1.45,1.1375,0.375,30.94347925,13.42348825,6.2652395,8.97261675,12
2267,M,1.8625,1.4125,0.4875,70.8454005,29.66775175,13.380964,19.84465,16
2268,M,1.4125,1.1,0.4125,31.18445,14.38737125,7.04485075,7.37087,11
2269,M,1.475,1.225,0.4375,33.40988575,15.0535845,6.95980225,9.7805775,11
2270,F,1.575,1.2875,0.375,35.47939925,13.53688625,8.80251975,8.9300925,11
2271,I,1.2625,0.975,0.3125,16.9813505,8.50485,3.0333965,4.9611625,10
2272,F,1.25,0.975,0.3625,18.01610725,8.03708325,3.58621175,5.5281525,11
2273,M,1.5125,1.175,0.3875,28.7180435,13.2959155,5.613201,8.3631025,11
2274,F,1.625,1.2625,0.4125,38.4702715,16.23008875,7.9662095,12.190285,13
2275,I,0.775,0.5875,0.175,4.2807745,1.7860185,0.9355335,1.2757275,7
2276,F,1.575,1.3375,0.4625,35.6920205,14.16057525,6.76135575,11.80756675,9
2277,F,1.3,1,0.35,17.84601025,7.3992195,3.9405805,5.10291,9
2278,F,1,0.7875,0.3125,9.6104805,3.912231,2.31048425,3.35941575,7
2279,M,1.7375,1.3125,0.4375,49.3564795,21.72989175,8.7599955,12.6155275,10
2280,I,1.25,1.0375,0.4125,19.51863075,8.77417025,3.912231,7.087375,8
2281,M,1.5125,1.125,0.375,26.2232875,10.489315,5.91087075,8.51902475,13
2282,I,0.975,0.7,0.225,7.10154975,3.005047,1.7293195,2.1262125,6
2283,I,1.4125,1.1125,0.35,26.6768795,10.90038275,7.144074,8.0796075,10
2284,F,1.55,1.2,0.4125,31.808139,13.56523575,7.52679225,9.79475225,14
2285,F,1.6,1.275,0.4125,35.3518265,15.52135125,7.824462,10.4042665,10
2286,M,1.5375,1.2,0.375,31.19862475,14.52911875,4.706017,8.6465975,12
2287,I,1.35,1.0125,0.325,23.26076475,10.489315,4.8477645,6.70465675,8
2288,M,0.9,0.675,0.225,5.82582225,2.11203775,1.31825175,1.7860185,10
2289,I,1.15,0.8875,0.3,15.77649675,6.350288,2.42388225,4.15320175,7
2290,M,1.5625,1.2375,0.4375,36.55668025,17.463292,6.917278,9.4970825,9
2291,M,1.7375,1.425,0.45,53.4388075,23.00561925,10.70193625,14.17475,11
2292,F,0.9,0.675,0.2625,6.61960825,2.6932025,1.48834875,2.4097075,7
2293,F,1.7375,1.35,0.4375,35.93299125,14.16057525,7.98038425,10.77281,9
